,symbol,entry_date,exit_date,entry_price,exit_price,strike,dte,days_held,size,pnl,return,regime,regime_strength
21,NVDA,2023-07-21 13:00:00,2023-07-24 09:00:00,0.27760236728573773,44.7,45.12,7,2.8333333333333335,12632.5,-2258.185997616785,-0.1787600235596109,bear_high_vol,-0.9404761904761905
22,NVDA,2023-07-24 13:00:00,2023-07-24 22:00:00,0.26066961527889065,44.6,44.48,7,0.375,12425.833333333332,-321.37428447533836,-0.025863398924981965,bear_high_vol,-0.9087301587301587
23,NVDA,2023-08-02 13:00:00,2023-08-03 13:00:00,0.30519188623135246,44.77,45.46,14,1.0,14466.666666666666,-1535.4307987348477,-0.10613576949780054,bear_high_vol,-0.5555555555555556
24,NVDA,2023-08-09 13:00:00,2023-08-10 13:00:00,0.3125279731767055,43.35,43.67,14,1.0,15094.047619047618,1337.8137068700319,0.08863187268481953,bear_high_vol,-0.623015873015873
25,NVDA,2023-08-11 12:00:00,2023-08-14 13:00:00,0.28184405675478674,41.61,41.92,7,3.0416666666666665,12477.499999999998,-2708.0170984791384,-0.2170320255242748,bear_high_vol,-0.9166666666666666
26,NVDA,2023-08-24 20:00:00,2023-08-25 11:00:00,0.7993746188316028,47.04,47.47,7,0.625,12994.166666666666,-6812.174176039306,-0.5242486379303,bull_high_vol,0.996031746031746
27,NVDA,2023-08-25 12:00:00,2023-08-28 09:00:00,0.3958713310511101,46.31,47.25,7,2.875,12167.5,-4083.088361743332,-0.33557331923101147,bear_high_vol,-0.8690476190476191
28,NVDA,2023-08-28 13:00:00,2023-08-28 22:00:00,0.36682310628103676,46.71,45.61,7,0.375,11599.166666666666,7691.649172815167,0.6631208425445938,bear_high_vol,-0.7817460317460317
29,NVDA,2023-09-07 13:00:00,2023-09-07 22:00:00,0.3821471807872332,46.15,45.89,14,0.375,15721.42857142857,1850.489647576699,0.11770492987766373,bear_high_vol,-0.6904761904761905
30,NVDA,2023-09-11 13:00:00,2023-09-11 23:00:00,0.340749233158142,45.03,44.8,7,0.4166666666666667,11315.0,1164.1676379162423,0.10288710896299091,bear_high_vol,-0.7380952380952381
31,NVDA,2023-09-20 19:00:00,2023-09-21 13:00:00,0.28035102911046295,41.31,42.41,14,0.75,15647.619047619048,-3984.806101775341,-0.25465894137943446,bear_high_vol,-0.6825396825396826
32,NVDA,2023-09-22 11:00:00,2023-09-22 13:00:00,0.25813368586838803,41.66,41.53,14,0.08333333333333333,14688.09523809524,1248.1226239355544,0.08497511785588147,bear_high_vol,-0.5793650793650794
33,NVDA,2023-10-03 19:00:00,2023-10-04 12:00:00,0.25044490893366356,43.68,43.69,7,0.7083333333333334,12606.666666666666,39.265413970664646,0.00311465473061856,bear_high_vol,-0.9365079365079365
34,NVDA,2023-10-13 15:00:00,2023-10-16 11:00:00,0.27916840962469147,45.06,46.23,14,2.8333333333333335,14909.523809523811,-4098.942943053797,-0.27492111722813706,bear_high_vol,-0.6031746031746031
35,NVDA,2023-10-17 13:00:00,2023-10-17 22:00:00,0.3292768786140954,43.52,43.22,7,0.375,13020.0,3007.6774775377335,0.2310044145574296,bear_high_vol,-1.0
36,NVDA,2023-10-18 12:00:00,2023-10-19 12:00:00,0.37666397602790874,42.74,43.3,7,1.0,12710.0,-4517.426414815399,-0.35542300667312343,bear_high_vol,-0.9523809523809523
37,NVDA,2023-10-19 22:00:00,2023-10-20 13:00:00,0.22899072120363118,42.24,41.8,14,0.625,13728.57142857143,4831.807606186917,0.3519526872352593,bear_high_vol,-0.47619047619047616
38,NVDA,2023-10-25 17:00:00,2023-10-26 13:00:00,0.23766060824623134,41.17,42.13,14,0.8333333333333334,14134.52380952381,-3056.884700958174,-0.21627079498061705,bear_high_vol,-0.5198412698412699
39,NVDA,2023-10-26 16:00:00,2023-10-30 11:00:00,0.18560432264542046,41.05,40.16,7,3.7916666666666665,11444.166666666666,7189.887056295388,0.628257807292978,bear_high_vol,-0.7579365079365079
40,NVDA,2023-10-31 13:00:00,2023-10-31 17:00:00,0.25853071669209915,40.62,39.8,7,0.16666666666666666,12012.5,6676.070761178423,0.5557603131053838,bear_high_vol,-0.8452380952380952
41,NVDA,2023-11-22 14:00:00,2023-11-24 14:00:00,0.34374346123133465,48.3,48.86,7,2.0,13020.0,-2563.224510803289,-0.19686824199718042,bear_high_vol,-1.0
42,NVDA,2023-11-27 09:00:00,2023-11-27 14:00:00,0.24868639866579764,48.12,47.72,14,0.20833333333333334,14761.904761904763,4053.1467037123925,0.27456800250954916,bear_high_vol,-0.5873015873015873
43,NVDA,2023-11-28 14:00:00,2023-11-29 12:00:00,0.21362217649434997,48.2,47.89,14,0.9166666666666666,13027.380952380952,2805.992713038267,0.21539192899133183,bear_high_vol,-0.4007936507936508
44,NVDA,2023-11-30 15:00:00,2023-12-05 12:00:00,0.18178534887372103,45.08,47.1,7,4.875,11160.0,-2028.7244934306896,-0.1817853488737177,bear_high_vol,-0.7142857142857143
45,NVDA,2023-12-06 20:00:00,2023-12-07 14:00:00,0.24364513949195052,45.71,45.65,14,0.75,14208.333333333332,250.37459027164093,0.017621672042578834,bear_high_vol,-0.5277777777777778
46,NVDA,2023-12-11 16:00:00,2023-12-12 14:00:00,0.25027597059394324,47.31,46.08,7,0.9166666666666666,12425.833333333332,11302.936012536977,0.9096320310538779,bear_high_vol,-0.9087301587301587
47,NVDA,2023-12-20 22:00:00,2023-12-21 14:00:00,0.25255315879377244,48.72,48.41,7,0.6666666666666666,12245.0,2107.806515598837,0.172136097639758,bear_high_vol,-0.8809523809523809
